TARGET,COMMS_WATCHDOG_PERIOD,IIDIODE,VIDIODE,I3V3DRAW,I5VDRAW,BOARD_TEMP,BCR_0_VOLTAGE,BCR_0_CURRENT_0,BCR_0_CURRENT_1,BCR_0_TEMP_0,BCR_0_TEMP_1,BCR_1_VOLTAGE,BCR_1_CURRENT_0,BCR_1_CURRENT_1,BCR_1_TEMP_0,BCR_1_TEMP_1,BCR_2_VOLTAGE,BCR_2_CURRENT_0,BCR_2_CURRENT_1,BCR_2_TEMP_0,BCR_2_TEMP_1,BCR_3_VOLTAGE,BCR_3_CURRENT_0,BCR_3_CURRENT_1,BCR_3_TEMP_0,BCR_3_TEMP_1,BCR_4_VOLTAGE,BCR_4_CURRENT_0,BCR_4_CURRENT_1,BCR_4_TEMP_0,BCR_4_TEMP_1,PCM_0_CURRENT,PCM_0_VOLTAGE,PCM_1_CURRENT,PCM_1_VOLTAGE,PCM_2_CURRENT,PCM_2_VOLTAGE,PCM_3_CURRENT,PCM_3_VOLTAGE,PDM_0_CURRENT,PDM_0_VOLTAGE,PDM_1_CURRENT,PDM_1_VOLTAGE,PDM_2_CURRENT,PDM_2_VOLTAGE,PDM_3_CURRENT,PDM_3_VOLTAGE,PDM_4_CURRENT,PDM_4_VOLTAGE,PDM_5_CURRENT,PDM_5_VOLTAGE,PDM_6_CURRENT,PDM_6_VOLTAGE,PDM_7_CURRENT,PDM_7_VOLTAGE,PDM_8_CURRENT,PDM_8_VOLTAGE,PDM_9_CURRENT,PDM_9_VOLTAGE,PDM_STATES_ACTUAL,PDM_STATES_EXPECTED,PDM_STATES_INITIAL,RESETS_BROWNOUT,RESETS_AUTO_SOFTWARE,RESETS_MANUAL,RESETS_COMMS_WATCHDOG,EPS_I2C_STATUS,BAT_I2C_STATUS,BATTERY_0_VERSION,BATTERY_0_STATUS,BATTERY_0_OUTPUT_VOLTAGE,BATTERY_0_CURRENT_MAG,BATTERY_0_CURRENT_DIR,BATTERY_0_MOTHERBOARD_TEMP,BATTERY_0_HEATER_CONTROLLER_STATUS,BATTERY_0_RESETS_BROWNOUT,BATTERY_0_RESETS_AUTO_SOFTWARE,BATTERY_0_RESETS_MANUAL,BATTERY_0_PCM_5V_CURRENT,BATTERY_0_PCM_5V_VOLTAGE,BATTERY_0_PCM_3V3_CURRENT,BATTERY_0_PCM_3V3_VOLTAGE,BATTERY_0_DB_0_HEATER_STATUS,BATTERY_0_DB_0_TEMP,BATTERY_0_DB_1_HEATER_STATUS,BATTERY_0_DB_1_TEMP,BATTERY_0_DB_2_HEATER_STATUS,BATTERY_0_DB_2_TEMP,BATTERY_0_DB_3_HEATER_STATUS,BATTERY_0_DB_3_TEMP,BATTERY_0_CHECKSUM,BATTERY_1_VERSION,BATTERY_1_STATUS,BATTERY_1_OUTPUT_VOLTAGE,BATTERY_1_CURRENT_MAG,BATTERY_1_CURRENT_DIR,BATTERY_1_MOTHERBOARD_TEMP,BATTERY_1_HEATER_CONTROLLER_STATUS,BATTERY_1_RESETS_BROWNOUT,BATTERY_1_RESETS_AUTO_SOFTWARE,BATTERY_1_RESETS_MANUAL,BATTERY_1_PCM_5V_CURRENT,BATTERY_1_PCM_5V_VOLTAGE,BATTERY_1_PCM_3V3_CURRENT,BATTERY_1_PCM_3V3_VOLTAGE,BATTERY_1_DB_0_HEATER_STATUS,BATTERY_1_DB_0_TEMP,BATTERY_1_DB_1_HEATER_STATUS,BATTERY_1_DB_1_TEMP,BATTERY_1_DB_2_HEATER_STATUS,BATTERY_1_DB_2_TEMP,BATTERY_1_DB_3_HEATER_STATUS,BATTERY_1_DB_3_TEMP,BATTERY_1_CHECKSUM
eps,1,22.62831888,6.741085487,0.846239596,1.808009292,20.22550483,20.81718389,-4.778836424,7.54689248,5.361834843,10.84973138,0.564403453,13.59569946,7.584052507,-0.77417535,-0.772560482,-0.599673701,1.644435394,-3.108880407,-0.737739521,-0.744708672,0,0,0,-0.246999029,-0.244284369,10.52334441,1.056090231,1.052732969,-0.239535819,-0.242226353,5.630491335,8.188537611,-10.12504123,5.511785198,-9.766328917,3.807800544,12.00921165,12.59937316,0,-1.416440907,0,0.51176464,0,-1.240053717,0,-0.64639558,0,-1.870290069,0,-1.151364184,0,-1.741025479,0,-0.510538117,0,-0.961361464,0,-0.662820052,0,0,0,0,0,0,1,0,0,4097,0,9.021327979,1128.541642,0,21.17153355,1,0,0,0,903.8594083,4.748933153,897.5463279,3.593752923,0,65.5014302,1,75.2019716,1,71.98557273,0,62.4085451,48879,4097,0,7.047826626,1078.838535,0,20.02825403,1,0,0,0,1008.268563,4.608929047,988.956698,3.552439264,0,68.45410235,1,76.98264451,1,73.90861091,0,65.34114822,48879
eps,1,22.62733013,6.739863464,0.840166198,1.800673008,20.21719955,20.80967398,-4.770161417,7.543335807,5.356932207,10.8427756,0.563526649,13.59520283,7.581816193,-0.773678434,-0.768310203,-0.590427704,1.641193709,-3.10642121,-0.734955766,-0.740428088,0,0,0,-0.246651462,-0.243874819,10.51858388,1.055509946,1.052205082,-0.238756267,-0.241744579,5.626476083,8.184452202,-10.12304874,5.507463698,-9.760267881,3.804594098,12.00856885,12.59668934,0,-1.415990019,0,0.51079213,0,-1.239788786,0,-0.645757481,0,-1.869812256,0,-1.151286083,0,-1.740567971,0,-0.510504812,0,-0.960898558,0,-0.662789664,0,0,0,0,0,0,1,0,0,4097,0,9.021116116,1128.508416,0,21.17022781,1,0,0,0,903.8614418,4.741834675,897.5617234,3.590827529,0,65.55971313,1,75.11701305,1,71.95636401,0,62.48601099,48879,4097,0,7.045741538,1078.92301,0,20.02850239,1,0,0,0,1008.169972,4.603885345,989.0434307,3.550709614,0,68.4857851,1,76.88548554,1,73.8429134,0,65.38980054,48879
eps,1,22.61975202,6.738727598,0.834061134,1.794785747,20.21642843,20.80722275,-4.763619287,7.540463798,5.348300875,10.83606666,0.561700448,13.58804776,7.577571187,-0.77285302,-0.762420586,-0.58597311,1.639072785,-3.105718869,-0.734292146,-0.734407216,0,0,0,-0.245759781,-0.243537644,10.51706274,1.054825709,1.052115148,-0.238506511,-0.240959371,5.62092587,8.183295069,-10.11464631,5.501602339,-9.759702674,3.795766688,12.00574706,12.59041836,0,-1.415230784,0,0.510254183,0,-1.239166844,0,-0.645232198,0,-1.868860189,0,-1.150737309,0,-1.740126902,0,-0.509884279,0,-0.960813583,0,-0.662690187,0,0,0,0,0,0,1,0,0,4097,0,9.020391888,1128.489099,0,21.16815133,1,0,0,0,903.9004079,4.735980321,897.5743833,3.588304901,0,65.63381495,1,75.04580618,1,71.85958171,0,62.50314719,48879,4097,0,7.040615942,1078.960015,0,20.03218286,1,0,0,0,1008.130274,4.594188458,989.0483166,3.545535211,0,68.50039766,1,76.88491338,1,73.79844713,0,65.39500518,48879
eps,1,22.61344587,6.736102882,0.825599473,1.792646017,20.2095147,20.80330221,-4.756794418,7.531302162,5.342522166,10.82766646,0.557312002,13.58441029,7.57326518,-0.77069984,-0.759047984,-0.581401545,1.63468456,-3.103406048,-0.724987604,-0.729589728,0,0,0,-0.245323068,-0.243399358,10.51378871,1.053919404,1.051848999,-0.238457089,-0.240921873,5.617528176,8.182510143,-10.10496252,5.496258567,-9.754372878,3.789771106,12.00258359,12.5881165,0,-1.414636831,0,0.51003543,0,-1.238369084,0,-0.645008596,0,-1.868033794,0,-1.150727784,0,-1.739728337,0,-0.509037652,0,-0.960198923,0,-0.662465947,0,0,0,0,0,0,1,0,0,4097,0,9.010786783,1128.4722,0,21.16517834,1,0,0,0,903.929267,4.732662505,897.6739166,3.580111981,0,65.6754658,1,74.97796167,1,71.78768358,0,62.57534279,48879,4097,0,7.040338177,1078.984089,0,20.04106959,1,0,0,0,1008.114395,4.589621644,989.0949927,3.541492239,0,68.54563587,1,76.78999964,1,73.71553529,0,65.46345023,48879
eps,1,22.60974339,6.734139801,0.824512853,1.789818511,20.20932846,20.80117096,-4.750870914,7.530857179,5.335761775,10.82031079,0.550707095,13.58389822,7.572601642,-0.762155666,-0.752268159,-0.573462535,1.63162328,-3.098726052,-0.719812656,-0.729190705,0,0,0,-0.244840992,-0.242862357,10.51202882,1.053638193,1.050931486,-0.237467136,-0.23997667,5.61223008,8.181161266,-10.10355916,5.495964374,-9.752935034,3.787387935,12.00164455,12.58770985,0,-1.414168443,0,0.510018696,0,-1.237505568,0,-0.644451006,0,-1.867526371,0,-1.150279911,0,-1.738799219,0,-0.508261133,0,-0.959566248,0,-0.661811241,0,0,0,0,0,0,1,0,0,4097,0,9.007629833,1128.424913,0,21.16430045,1,0,0,0,904.0217726,4.731217345,897.743418,3.578397089,0,65.70084455,1,74.88168315,1,71.75238718,0,62.61746959,48879,4097,0,7.038118744,1079.021851,0,20.04925726,1,0,0,0,1008.06527,4.582254886,989.1304394,3.532184651,0,68.62025325,1,76.78794764,1,73.6608388,0,65.49378771,48879
eps,1,22.60903972,6.730125018,0.819249462,1.783266201,20.20194072,20.80098915,-4.750060977,7.525871677,5.329463286,10.81156689,0.548424646,13.58368332,7.56308893,-0.752571737,-0.750057412,-0.568602857,1.624784798,-3.089333767,-0.712004081,-0.721864273,0,0,0,-0.243921146,-0.24231582,10.5085516,1.053231451,1.049984992,-0.237047385,-0.239639904,5.611036046,8.180407801,-10.10172368,5.489984446,-9.746988235,3.786200296,11.99354845,12.58143107,0,-1.413932751,0,0.510003139,0,-1.237247788,0,-0.64397855,0,-1.867244094,0,-1.150061163,0,-1.738052414,0,-0.507949093,0,-0.958908056,0,-0.661501207,0,0,0,0,0,0,1,0,0,4097,0,9.00395732,1128.397797,0,21.15465857,1,0,0,0,904.0855503,4.724399828,897.7608913,3.572075693,0,65.74845954,1,74.84736141,1,71.65329843,0,62.7052783,48879,4097,0,7.030309557,1079.041745,0,20.05041154,1,0,0,0,1008.044391,4.57396662,989.1637265,3.529105151,0,68.71668453,1,76.74275776,1,73.62113189,0,65.58389385,48879
eps,1,22.60553859,6.725405674,0.812799413,1.77771922,20.19732838,20.80014853,-4.745257346,7.522982523,5.323017654,10.80538896,0.539449155,13.58294211,7.562109004,-0.749996658,-0.745723994,-0.558812479,1.620321307,-3.086998894,-0.711316242,-0.720829408,0,0,0,-0.24383053,-0.241870145,10.49886316,1.05287735,1.049352405,-0.236376174,-0.238991795,5.609135542,8.171210449,-10.09703094,5.480495671,-9.737915526,3.783385356,11.98376541,12.57197295,0,-1.413787135,0,0.509974503,0,-1.23686255,0,-0.643657199,0,-1.866956647,0,-1.149647747,0,-1.737177734,0,-0.507118021,0,-0.958623953,0,-0.660928942,0,0,0,0,0,0,1,0,0,4097,0,9.003526528,1128.378128,0,21.14545571,1,0,0,0,904.1533855,4.71950557,897.8182377,3.571968032,0,65.830218,1,74.76693502,1,71.60053321,0,62.74762664,48879,4097,0,7.021602071,1079.117071,0,20.05535864,1,0,0,0,1007.948306,4.570275167,989.2384029,3.527713834,0,68.78452087,1,76.65751257,1,73.60961973,0,65.67834262,48879
eps,1,22.60402193,6.723581731,0.80569002,1.776636177,20.19299884,20.7925544,-4.740757053,7.513410937,5.314757586,10.80018377,0.534649627,13.57392485,7.559581022,-0.745206802,-0.743971299,-0.550765669,1.615850288,-3.082445642,-0.703878506,-0.714551206,0,0,0,-0.243563268,-0.241545666,10.49794313,1.052601489,1.048850155,-0.235562592,-0.238853643,5.605489775,8.161921195,-10.09247811,5.472123741,-9.732547244,3.774664945,11.97476063,12.56612628,0,-1.413058104,0,0.509699385,0,-1.236297896,0,-0.643223059,0,-1.866604481,0,-1.14884486,0,-1.736286642,0,-0.506896047,0,-0.957849324,0,-0.660435614,0,0,0,0,0,0,1,0,0,4097,0,8.993919834,1128.289246,0,21.1369367,1,0,0,0,904.1689655,4.714971358,897.8793706,3.568283778,0,65.8398933,1,74.73778592,1,71.59588599,0,62.81459865,48879,4097,0,7.013783081,1079.143287,0,20.05867079,1,0,0,0,1007.923401,4.565971164,989.2918682,3.526061915,0,68.85507579,1,76.62974742,1,73.51511884,0,65.76043764,48879
eps,1,22.59843445,6.718602534,0.798836157,1.767692314,20.18983737,20.78741003,-4.73727234,7.507424826,5.310461098,10.79516325,0.529446622,13.57137336,7.553371335,-0.737842331,-0.738020493,-0.541077089,1.611835959,-3.075371756,-0.701751073,-0.712372585,0,0,0,-0.242719573,-0.240797241,10.49452662,1.052279203,1.0486801,-0.234989469,-0.238523807,5.601148698,8.159477721,-10.08923194,5.470982863,-9.726548427,3.773640548,11.96650201,12.56425796,0,-1.412684515,0,0.509219275,0,-1.235933098,0,-0.642471426,0,-1.865966974,0,-1.14804186,0,-1.735652868,0,-0.506546149,0,-0.957515066,0,-0.659837964,0,0,0,0,0,0,1,0,0,4097,0,8.984562367,1128.217767,0,21.12851457,1,0,0,0,904.2639782,4.709698156,897.9340308,3.566898866,0,65.8892476,1,74.67623625,1,71.54216961,0,62.90865252,48879,4097,0,7.006556078,1079.161084,0,20.06599653,1,0,0,0,1007.916219,4.565916792,989.3000559,3.522061212,0,68.89027417,1,76.57691687,1,73.44774519,0,65.85348399,48879
eps,1,22.59228205,6.716504291,0.791516609,1.767024364,20.18813568,20.78649734,-4.730425909,7.502631232,5.306916478,10.78769031,0.525360297,13.56612689,7.544558664,-0.730594872,-0.7310785,-0.533736912,1.608530876,-3.074796906,-0.700862295,-0.710874967,0,0,0,-0.241959275,-0.240123839,10.4943949,1.052161064,1.048187477,-0.234597613,-0.238165447,5.593572641,8.155533866,-10.07972023,5.466953613,-9.724822875,3.770026861,11.96625187,12.55787209,0,-1.412619884,0,0.509095893,0,-1.235713943,0,-0.642084335,0,-1.865880169,0,-1.148009182,0,-1.734749872,0,-0.505777187,0,-0.957427382,0,-0.659613117,0,0,0,0,0,0,1,0,0,4097,0,8.977544411,1128.132999,0,21.12791259,1,0,0,0,904.2894667,4.702480218,897.9477876,3.56505796,0,65.95417888,1,74.63279055,1,71.50785544,0,62.95229352,48879,4097,0,7.004555633,1079.255957,0,20.07402422,1,0,0,0,1007.905267,4.563930191,989.3653978,3.517088562,0,68.9285137,1,76.57111323,1,73.42459207,0,65.91632686,48879
