TARGET,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z
gps,4,217567,0.188,-2640000,-3409000,5359000,4978,-5269,-899.2
gps,4,217627,0.188,-2388000,-3668000,5306000,5093,-5090,-1226
gps,4,217687,0.188,-2121000,-3927000,5233000,5199,-4888,-1562
gps,4,217747,0.188,-1827000,-4195000,5136000,5294,-4653,-1917
gps,4,217807,0.188,-1556000,-4426000,5030000,5365,-4426,-2235
gps,4,217867,0.188,-1253000,-4667000,4895000,5426,-4159,-2576
gps,4,217927,0.188,-965000,-4880000,4750000,5466,-3893,-2889
gps,4,217987,0.188,-646000,-5097000,4573000,5493,-3585,-3220
gps,4,218047,0.188,-355100,-5279000,4395000,5498,-3293,-3511
gps,4,218107,0.188,-80370,-5437000,4212000,5488,-3006,-3775
gps,4,218167,0.188,216600,-5590000,4001000,5462,-2685,-4047
gps,4,218227,0.188,482500,-5715000,3797000,5423,-2386,-4281
gps,4,218287,0.188,769300,-5832000,3564000,5365,-2054,-4520
gps,4,218347,0.188,1051000,-5932000,3318000,5292,-1716,-4743
gps,4,218407,0.188,1386000,-6029000,3007000,5182,-1298,-4991
gps,4,218467,0.188,1582000,-6073000,2814000,5107,-1046,-5127
gps,4,218527,0.188,1850000,-6119000,2538000,4990,-690.1,-5301
gps,4,218587,0.188,2149000,-6149000,2209000,4836,-277.6,-5478
gps,4,218647,0.188,2392000,-6154000,1926000,4694,69.66,-5607
gps,4,218707,0.188,2691000,-6135000,1557000,4496,513.4,-5746
gps,4,218767,0.188,2864000,-6110000,1332000,4367,779.5,-5815
gps,4,218827,0.188,3136000,-6046000,956600,4142,1214,-5905
gps,4,218887,0.188,3339000,-5977000,660000,3955,1552,-5954
gps,4,218947,0.188,3532000,-5891000,361400,3758,1885,-5985
gps,4,219007,0.188,3725000,-5782000,43770,3539,2234,-5999
gps,4,219067,0.188,3910000,-5652000,-280000,3307,2584,-5991
gps,4,219127,0.188,4080000,-5505000,-596900,3069,2921,-5962
gps,4,219187,0.188,4221000,-5359000,-882100,2848,3218,-5919
gps,4,219247,0.188,4363000,-5183000,-1188000,2601,3531,-5853
gps,4,219307,0.188,4513000,-4956000,-1542000,2304,3887,-5751
gps,4,219367,0.188,4615000,-4768000,-1810000,2070,4151,-5654
gps,4,219427,0.188,4712000,-4554000,-2090000,1817,4421,-5535
gps,4,219487,0.188,4800000,-4317000,-2374000,1550,4689,-5393
gps,4,219547,0.188,4871000,-4076000,-2640000,1290,4935,-5239
gps,4,219607,0.188,4929000,-3823000,-2898000,1027,5168,-5069
gps,4,219667,0.188,4984000,-3484000,-3215000,690.3,5445,-4830
gps,4,219727,0.188,5013000,-3189000,-3465000,410.1,5656,-4613
gps,4,219787,0.188,5027000,-2890000,-3699000,135.3,5847,-4384
gps,4,219847,0.188,5028000,-2606000,-3904000,-117.6,6008,-4161
gps,4,219907,0.188,5015000,-2295000,-4110000,-384.7,6162,-3910
gps,4,219967,0.188,4989000,-1984000,-4299000,-644.4,6296,-3653
gps,4,220027,0.188,4938000,-1582000,-4519000,-967.4,6441,-3312
gps,4,220087,0.188,4881000,-1244000,-4683000,-1231,6539,-3019
gps,4,220147,0.188,4812000,-908500,-4830000,-1483,6616,-2722
gps,4,220207,0.188,4712000,-503400,-4985000,-1777,6683,-2355
gps,4,220267,0.188,4616000,-161600,-5097000,-2018,6718,-2040
gps,4,220327,0.188,4507000,181800,-5193000,-2252,6733,-1719
gps,4,220387,0.188,4384000,531900,-5274000,-2483,6728,-1385
gps,4,220447,0.188,4254000,867800,-5335000,-2697,6705,-1060
gps,4,220507,0.188,4108000,1215000,-5381000,-2911,6660,-718.9
gps,4,220567,0.188,3964000,1533000,-5408000,-3101,6601,-401.6
gps,4,220627,0.188,3751000,1965000,-5420000,-3348,6491,36.26
gps,4,220687,0.188,3572000,2301000,-5409000,-3533,6381,381.3
gps,4,220747,0.188,3394000,2611000,-5382000,-3696,6260,705.2
gps,4,220807,0.188,3156000,2999000,-5325000,-3891,6080,1119
gps,4,220867,0.188,3010000,3222000,-5279000,-3997,5961,1359
gps,4,220927,0.188,2798000,3527000,-5200000,-4137,5778,1693
gps,4,220987,0.188,2541000,3873000,-5085000,-4286,5539,2077
gps,4,221047,0.188,2324000,4144000,-4973000,-4394,5327,2385
gps,4,221107,0.188,2007000,4511000,-4789000,-4529,4998,2810
gps,4,221167,0.188,1806000,4726000,-4659000,-4600,4779,3065
gps,4,221227,0.188,1495000,5035000,-4441000,-4690,4425,3438
gps,4,221287,0.188,1287000,5224000,-4285000,-4737,4180,3673
gps,4,221347,0.188,1021000,5449000,-4071000,-4783,3855,3960
gps,4,221407,0.188,742300,5663000,-3833000,-4814,3502,4241
gps,4,221467,0.188,477000,5846000,-3593000,-4828,3155,4491
